Volatility,Return,Sharpe
0.3085808746866812,0.2808684593067801,0.7805683341566351
0.12119854847173821,0.11653712700819645,0.6315020103235298
0.13340737702859357,0.04565443621296508,0.04238473417967847
0.14698636734541792,0.1057428922873961,0.4472720394055343
0.19544817567469214,0.19660801270849987,0.8012764108331273
0.2186579418669038,0.22512681781987637,0.8466503262550706
0.14040047512467227,0.11504227481314755,0.534487328098511
0.15332457388028992,0.086253749609455,0.30167212234072927
0.15249283611468034,0.06722032357972985,0.17850231049056717
0.11089104811041442,0.0019463301459456545,-0.34316268537893374
0.16767514170224573,0.24545351900053838,1.2253069650919322
0.13553770525506087,0.12324266556380904,0.614166112722355
0.46074060216650387,0.5386803074750869,1.0823450443268559
0.11562524182043048,0.09671623861245682,0.49051779455336286
0.12143793546392365,-0.039942586613876334,-0.6582999481049758
0.3292360643327339,0.39595352291054364,1.08114985407798
0.1544408052827178,0.14991620732972225,0.711704443191103
0.13137271346694604,0.0025152589912279186,-0.28533125349659016
0.16136783510097824,-0.0035065877681286425,-0.26961127501589005
0.1503712158169937,0.1543754871750345,0.7606208844798655
0.1360110261538487,0.0707808139906306,0.22631116653596103
0.14417097056484257,0.06830612080257528,0.1963371730916126
0.15766106252463527,0.13549601900720024,0.605704525125083
0.12408477706877544,0.09391186118272982,0.43447602885927367
0.12085533102040871,0.014657855026519354,-0.2096899223187858
0.13142423529518932,-0.016402177036144536,-0.4291611582099812
0.16038543278933948,0.20335654776490814,1.0185248430851641
0.1382034328480958,0.176651949498743,0.9887739159774844
0.12088123965787892,0.0742398436662925,0.2832519236500134
0.13456663757448625,0.1540983201448497,0.8478945613967147
0.1083882805847006,0.020362873973387666,-0.1811738863342038
0.1319070006211494,0.10785339498519714,0.5144032891785564
0.201651659530459,0.22646204751017748,0.9246740043912847
0.13046422127383855,0.11011906325763962,0.5374581825806697
0.13109724728172595,0.13605637342702376,0.7327108342755672
0.16949309105776064,-0.01987388550831893,-0.3532526614191892
0.17562962432850415,0.11831442136116015,0.445906672411244
0.1211258871565448,0.0851764422171883,0.3729709914017111
0.1292806100615369,0.029538079682063238,-0.08092412553558452
0.14725502783623226,0.07278301890405525,0.22262750132046055
