Ticker,Date,Sector,Industry,Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio,Market_Cap,PE_Ratio,EPS,Revenue_Growth,Profit_Margin,Dividend_Yield,Payout_Ratio,Debt_to_Equity,ROE
D05.SI,2024-12-30 00:00:00+08:00,Financial Services,Banks - Regional,41.04972844169647,41.33250427246094,40.98374753437442,41.33250427246094,2347200,0.688861753712966,0.0378697968661605,0.1671637269980781,0.2160235773539336,0.548073303775582,0.1706824971913165,59.77777497028198,39.450065002441406,34.44181688308716,1.0477170131380782,1.2000674764854664,4300665.698412699,0.5457759715818672,-0.010381566524638,2.647303827480912,162158034944,14.958116,3.82,-0.033,0.4945,5.35,0.7461,52.7045,0.15875
E5H.SI,2024-12-30 00:00:00+08:00,Consumer Defensive,Farm Products,0.2514677345752716,0.2563036481133625,0.2466318210371807,0.2514677345752716,3077200,0.0,-0.0545455136259017,-0.0714285792891606,-0.0370371511611385,0.0039248678355368,0.222045299492978,38.55300106353175,0.2673295587301254,0.2623925147950648,0.9406656554172274,0.9583647413558052,9185080.952380951,0.3350215437352601,-0.1186440341593372,0.1281908216802715,3677684992,7.25,0.04,0.226,0.03416,2.77,0.1883,61.095,0.12222
F03.SI,2024-12-30 00:00:00+08:00,Consumer Defensive,Beverages - Non-Alcoholic,0.9164299368858336,0.921105595279068,0.9164299368858336,0.9164299368858336,158400,-0.5076167424678313,0.0,-0.0150753881511759,0.0,-0.0674992643168312,0.2472462112576434,38.69495817776744,0.941772027015686,0.9838098922371864,0.9730910566433396,0.9315112036552808,262687.3015873016,0.60299831412809,-0.2668615040590938,-0.1601644763297258,1781082624,46.42857,0.07,0.217,0.05223,2.75,0.8785,30.853,0.09629
F34.SI,2024-12-30 00:00:00+08:00,Consumer Defensive,Packaged Foods,2.940638733108479,2.950186252593994,2.931091213622964,2.950186252593994,2988900,0.6514701168149672,0.0098039455707035,-0.0776119305078421,0.0263148967624409,-0.0729522126768579,0.1899827133197566,54.58316097617408,2.967371730804443,2.994342433214188,0.9942085185917068,0.9852534632878326,4462683.396825396,0.6697539875058588,-0.0938416714352228,-0.3043603012297256,22161702912,14.791667,0.24,0.063,0.01709,4.0,0.64809996,126.018,0.05663
G13.SI,2024-12-30 00:00:00+08:00,Consumer Cyclical,Resorts & Casinos,0.7198711202683739,0.7246071100234985,0.7151351305132491,0.7246071100234985,16991000,0.0,-0.0064935229443885,-0.1257143144810405,-0.0551261212463618,-0.1901310071711727,0.216747610544486,45.40972485204103,0.7480976462364197,0.7887282291054726,0.968599638922674,0.9187031518388832,27903262.07936508,0.6089252199858426,-0.2436128195876746,-0.86284482544138,8699699200,18.000002,0.04,0.054,0.15919,5.56,1.061,0.031,0.04731
H78.SI,2024-12-30 00:00:00+08:00,Real Estate,Real Estate - Development,4.209023033269237,4.275681477330622,4.209023033269237,4.256636142730713,1232900,1.3605327858289051,-0.0110620022940917,0.2179834168227268,0.4250710155843169,0.3748432149981333,0.2808263020709272,49.61889779179281,4.2585412120819095,3.4574935066699983,0.9995526474310518,1.2311335175377929,4459976.666666667,0.2764364238078973,-0.0969697932243094,1.2722216956925074,18582800384,18.923079,-0.15,-0.227,-0.18586001,2.69,2.4472,20.263,-0.01081
J69U.SI,2024-12-30 00:00:00+08:00,Real Estate,REIT - Retail,2.0090808868408203,2.018557900895108,1.9901273106211483,2.0090808868408203,2277700,0.0,-0.0093458954733456,-0.053006467366428,0.0225751280661676,-0.0055912874051061,0.1327917929365426,48.87093877988346,2.0281578373909,2.039714592695236,0.990593951714024,0.984981376333668,3758269.8412698414,0.6060501497227279,-0.0962302314010781,0.0240507490975884,4704295424,23.099998,0.1,0.135,0.44132,7.88,1.1683,54.53,0.044899996
K71U.SI,2024-12-30 00:00:00+08:00,Real Estate,REIT - Office,0.7919490738035425,0.8011045455932617,0.7919490738035425,0.8011045455932617,4419500,1.1560657532671217,0.0174418441806405,-0.0837696463567169,0.0704924010298795,-0.0009467747849724,0.1532184729226104,60.05967075878201,0.798449467420578,0.7913561156392097,1.0033252926841585,1.0123186385514666,6733429.714285715,0.6563519911143563,-0.1071428286722903,0.070029814691899,4781658624,8.772727,0.11,0.052,1.1386399,5.38,0.6287,62.54,0.086540006
M04.SI,2024-12-30 00:00:00+08:00,Consumer Cyclical,Lodging,1.3971019983291626,1.3971019983291626,1.3971019983291626,1.3971019983291626,16400,-1.6854027783044123,0.0416666074124216,0.029411697537403,0.0451805321727412,0.1514062989997084,0.25140560323274,52.14096971714367,1.387521939277649,1.3392340368032456,1.0069044378905467,1.0432097452242537,575184.5238095238,0.0285125891277126,-0.0384616457502839,0.6857365212103024,4221123840,15.5833345,-0.07,-0.014,-0.17323999,0.015,0.0,15.409,-0.03203
M44U.SI,2024-12-30 00:00:00+08:00,Real Estate,REIT - Industrial,1.1771414279937744,1.186410249435216,1.1678726065523326,1.1771414279937744,7258300,0.0,-0.0078124419105877,-0.1169760318721339,-8.131331844307699e-05,-0.2101922270315683,0.1959823053159119,45.31719335104789,1.200768229961395,1.2262281465530396,0.9803235950301744,0.959969342819891,18843678.253968254,0.3851848828119047,-0.223809587442078,-1.1061089061688167,6644178944,43.333332,0.03,-0.031,0.27069,5.69,2.2846,78.425,0.02684
