Ticker,Company_Name,SHAP_Open,SHAP_High,SHAP_Low,SHAP_Price,SHAP_Vol,SHAP_Change%,SHAP_Return_1M,SHAP_Return_3M,SHAP_Return_6M,SHAP_Return_1Y,SHAP_Volatility,SHAP_RSI_14,SHAP_SMA_50,SHAP_SMA_200,SHAP_Price_to_SMA50,SHAP_Price_to_SMA200,SHAP_Avg_Volume_3M,SHAP_Volume_Trend,SHAP_Max_Drawdown,SHAP_Sharpe_Ratio,SHAP_Market_Cap,SHAP_PE_Ratio,SHAP_EPS,SHAP_Revenue_Growth,SHAP_Profit_Margin,SHAP_Dividend_Yield,SHAP_Payout_Ratio,SHAP_Debt_to_Equity,SHAP_ROE,ML_Probability,SHAP_Sum,SHAP_Reconstructed
AJBU.SI,Keppel Infrastructure Trust,-0.012207842899824755,-0.01666372666868483,-0.01399787480084342,-0.011755070809485915,-0.006838262143664906,-0.0024060496082893225,-0.002320722422691688,-0.0010427347119548358,-0.005536068972287467,-0.00792156829897067,0.0034469746749527987,-0.006219218289024866,-0.014922815465215535,-0.008195851562704774,0.008739798026499556,-0.0018502292374978425,-0.025329116560078545,-0.0021680184355773236,0.00020626879988412837,-0.007967114494786074,-0.005961266024933139,-0.006202802874813642,-0.024753677045810038,0.0017800296644600166,-0.05414156841608928,-0.006968992177189648,0.010380098998480207,4.8181388274315394e-05,-0.019004577716718814,0.14937141634283185,-0.2397738180845863,0.1493714132083624
AWX.SI,AEM Holdings,0.003490006654137687,0.00015832055509235944,-0.0023133305998999276,-0.00037404348915515584,-0.0013449913668227963,0.016228904444287765,-0.003247821245195155,-0.0034142845612041128,-0.009228151526986039,0.014613093562311406,-0.0073986040216186665,-0.014562115817534504,-0.0006492123185580567,-0.001301608449575724,-0.001966918976922898,-0.0030734523573846674,-0.004821085411895183,0.004479879638529383,0.00010649713292878005,0.021823758704103965,0.0017222756467526778,0.011663101304220618,-0.013327146928113508,0.0037633130602807794,0.0008082840134738945,0.008465757025442144,0.00310108169387604,0.012447280523283553,-0.015502322313550395,0.4094916950527977,0.020346464574304265,0.409491695867253
BN4.SI,Keppel Corporation,-0.017937438655753795,-0.022907287707748764,-0.013031270720639442,-0.027671647589140775,0.0007790784478856949,0.0003623856741069176,-0.0014944103841298783,-0.004039161532455182,-0.003983793910392706,-0.01139278859791375,0.02029191791206358,-0.019643652628747076,-0.028044146113279565,0.00033387743160346873,-0.0206278998353082,-0.008595949683458457,-0.0024413085591731944,0.011348176689734828,0.01463795307885448,-0.0037687794705925626,0.011463031037246765,0.010015689781066612,0.046587364397501003,0.007734008953175362,0.014207529828236148,0.004212770924896176,0.00412257690961269,0.005389023105581145,-0.009916573538866942,0.345134502848426,-0.04401072475603541,0.3451345065369133
BS6.SI,YZJ Shipbldg SGD,-0.0032719283546339285,0.007083259712644576,-0.0037090513136536175,0.002890580945468173,0.0044479566716699994,0.005707414275493647,0.022007703278277405,0.011114534982780241,0.00925494805629569,0.02985682124648065,-0.0040427806470142965,0.00884544885075229,-0.0005892689835854981,-0.007192607755787322,0.010822641283084522,0.014723315872361127,-0.0017142550419248436,0.0023363058904033096,0.019776462004747374,3.4527723059909476e-05,0.009142362421243888,0.02152868003357071,0.06325617275298555,0.0031222832390631083,0.01652315524941514,0.010298826205416844,0.014318312877999234,0.003085314354793809,0.05900060199455766,0.7178029678115158,0.32865773782596536,0.7178029691189141
BVA.SI,Frencken Group,0.017422708670646898,0.019531552086209557,0.029835340796853415,0.009014642911824921,-0.002895378460189022,-0.003641556995880819,0.026239116158585603,0.009614611727067767,0.0032864611742297713,0.003990474093043304,-0.017161880545545502,-0.00246261849018083,0.014097926421363809,0.01369506956430996,0.008548142381314391,0.0022478435031916886,-0.006304657030777889,-0.004611889611942388,0.004800696543316008,-0.002329448901091382,-0.010000066364773375,-0.005339215176900325,-0.019346589026054063,0.002351874176529236,0.0027669043486366718,0.002520538042776934,0.0074191513854930235,0.009375835963137433,-0.01206429027825834,0.48974653098788723,0.10060129906693646,0.48974653035988513
C07.SI,Jardine Cycle & Carriage,-0.0070643417154042255,-0.025373138769336948,-0.015255346099165764,-0.012156977451741113,0.0005668775274989457,0.0008731339705627761,0.007643498191746403,-0.00012715991662844316,-0.005537762254934932,-0.006565151764816619,0.017165778567632514,-0.00015314847162699153,-0.03396664781963409,-0.003993359484229586,0.002880475276861034,-0.006626678208758677,0.021372307186420584,0.0009188875343897962,0.008529214252048405,0.0032034776984255584,0.008074735260852322,-0.005264461823835518,0.03496329154547311,0.0019251068290759576,0.001003586659053326,0.010605650429470188,0.0013684755448048235,0.0012737776704489078,0.012093274405779085,0.40152260649918525,0.012377374770430823,0.40152260606337953
C09.SI,City Developments,-0.0004360211240054923,-0.0050918964673110165,-0.0012129147673658736,-0.014163889887440747,-0.000701965939879301,-0.00021143615973414853,0.007540115485699062,-0.007581719669519771,0.012745901593098097,0.015902978797748803,0.010795981484498042,0.01982803002176297,-0.011449335754277853,0.004625308864633553,0.019446547614279552,0.01233748021246356,-0.0009139213250000467,0.009211435987326695,-0.005022269281207628,0.035225000976770386,-0.00046462165115372043,0.01472325571530746,0.006471226214762283,0.002622672487032105,0.010095903859546524,0.004234496482167742,0.004264767641416256,0.0036291243396954086,-0.015767488665660495,0.51982797500593,0.13068274708565245,0.5198279783786012
C2PU.SI,Parkway Life Real Estate Investment Trust,-0.007963305206130826,-0.009245195353787494,-0.006228860160754266,-0.008785190298258385,0.0029591176158464804,0.01083592299148222,0.004235671628284763,-0.008342639152247103,-0.004151032398685857,-0.01214703322186324,0.001415752654629614,-0.013424541735948878,-0.025518724318008026,-0.008082049842450943,-0.009867940751846618,-0.003999756866396638,0.005273044535242661,0.0008049381927776267,0.003910910424019675,-0.0046512576697932675,0.0016474358285631751,-0.0086504034407335,0.01677669006479391,0.004311450322329619,-0.024310823662817713,0.008223561198592506,0.008833574150230561,0.0010795731580856226,-0.011018428028310155,0.2930656920302599,-0.09607953934315447,0.29306569194979426
C38U.SI,CapitaLand Ascendas REIT,-0.01171219589363318,-0.010861675245778316,-0.016184748731393483,-0.015926745386350374,-0.002933482389616984,-0.003604119866831752,-0.0002016703881963622,0.0013331906954044826,-0.003458467102427676,-0.011603824139729112,0.001868272706760763,-0.003921258545378805,-0.01945500922849533,-0.009432185804180336,0.005052944712660974,-0.0017602305828404497,-0.019944137587244767,-0.0003610174553432444,0.00017761629347660347,-0.006633207869926991,0.008887827253456635,-0.014008628777664853,-0.03398523719080458,-4.7910749417496843e-05,-0.05709830953052006,-0.008387725142092677,-0.008189954427493831,-0.0011886204543588973,-0.037409285616677154,0.108155435876438,-0.28098979644463723,0.10815543484831147
C41.SI,Olam Group,-0.004570795540539621,-0.0007665532770079153,-0.0023996110866210075,-0.006725983273991005,0.012248522355939713,0.006364258142293693,0.00013899133271479513,0.000853926384688748,-0.003533773293984268,-0.008096280564086556,0.007974525259978691,-0.0072019898342568925,-0.0009171225186946685,-0.01147954071086133,-0.004475611117700282,0.007503038699487661,0.033709498069028995,0.0006821714052603056,-0.011407936498203526,-0.0018688700502934807,0.004319237606305251,0.01756745759228579,0.05344234862088342,0.0007346764966587216,0.013018027652069577,0.006164109730198106,0.012605243207290187,0.0006542162182404354,0.056738160431887084,0.5604195748231257,0.17127434143897063,0.5604195727319193
C52.SI,ComfortDelGro,-0.004530410002116696,-0.009845678260116984,-0.013978488568282045,-0.012021388227767603,-0.001444759135847562,-0.0024344169142568716,-0.002372827329982101,-0.0020265704769190053,-0.0022399231144299846,-0.006403320739045739,0.000663070834671089,-0.010305990351334914,-0.020448848615305906,-0.003961480146681424,-0.0034240922637764014,-0.008469287862844795,-0.007204733934413525,0.00386890584604771,0.008782915438860072,-0.005629582465189742,-0.006340722970489879,-0.014110870739023085,-0.028700247056585793,-0.00810018777676305,0.0051872808612642984,-0.01663783697564213,-0.013805715865964885,-0.0024932191940024496,-0.031982120373468204,0.1687346874368485,-0.2204105463794076,0.1687346849135411
C6L.SI,Singapore Airlines,-0.019734833155725936,-0.008814483012715755,-0.009246326912016229,-0.020126820053083066,-0.0029161654856034148,0.0008781288245518226,-0.0011315769945304055,-0.0017969383500894764,-0.005491613470858283,-0.0033501334430729914,0.0221375070655904,-0.0034070717493432314,-0.03081063403022199,-0.007878902706470398,-0.00970027256924368,-0.007114682335213729,0.002824233167393686,0.002915224483649581,0.00926703587090742,-0.0016482022780155603,0.01848491316818581,0.012946528278662299,0.053704829578550745,0.010365104664879254,0.014401849102414417,0.0009293179661835893,0.006565318915072567,0.006024612022283691,0.041241742751581115,0.4586629184277972,0.06951768931370225,0.4586629206066509
CC3.SI,StarHub,-0.0031987985501655204,-0.006968330914751277,-0.01851907838270563,-0.009724158133540186,-0.0036012088443567337,-0.0028729121471042164,0.004788079915288108,-0.0018329710781017639,0.00010707016190281138,-0.011347652892745828,-0.0006401396645196655,0.007071611366773141,-0.008260639063355484,0.0004494001642160583,0.006016647167571137,-0.0031156248965635313,-0.005331293083490891,0.0032526173335281783,0.0015944747631692735,-0.007163531885971679,-0.007546831762010697,-0.018858204108655626,-0.03091181036970738,-0.0069191787479576305,-0.005789486570592999,-0.04462383391674393,-0.017753917142072168,-0.03602471192883968,-0.008134911799843395,0.15328590843682335,-0.2358593250113472,0.1532859062816015
CMOU.SI,CapitaLand China Trust,0.028897571033899113,0.03647926740110052,0.02154868115298086,0.03171751941894399,0.00930097196753195,0.004934618471615977,-0.008132478838624592,-0.009556679085981158,0.004172870125257759,0.005204319423319248,-0.0007699381679640283,0.011264192517210177,0.040263169282225134,0.042648882034754934,0.002912830338027561,0.00157140119489668,0.001437984143394715,-0.007403891885214762,-0.0046390695293939644,-0.002024847344491718,0.002288843874066515,0.0032655436115419435,-0.0194814993557884,-0.0008928911783004878,0.004313763978752831,-0.00594775276222208,-0.0038465620996794314,0.0060403376964859486,-0.014774531130278774,0.5699378577914722,0.18079262628806644,0.5699378575810151
D01.SI,DFI Retail Group,-0.006092134232821991,-0.002539699621593172,-0.011198045924156758,-0.006407040430894994,-0.0002449451393113122,-0.0028829301281803055,-0.0029301840711013936,-0.0018799054927512771,-0.006186172619272838,-0.005188771832999919,-0.0016051589184098703,0.013914932703437443,-0.01976766492429306,-0.004375378458826162,0.008613257348879416,-0.0001444626014381356,0.0023718100834048527,-0.005349843973417592,-0.005180998011901465,-0.0034353991645548376,-0.003859155799873406,-0.008269242643436883,-0.03662911573845122,-0.0026558017122260934,0.005560951675652177,0.0030761585594154895,-0.01116990494681886,-0.02595796783170954,-0.03268971359068019,0.21604270497836278,-0.17310252743833188,0.21604270385461682
D05.SI,DBS Group Holdings,-0.0011068152371854012,-0.016621810274195924,-0.005928501519629208,0.0016490070626514353,-0.0007602954998037604,0.0015736112021022563,-0.007857834193446251,0.0010663999386451906,0.003707787575258408,0.03917651922706682,-0.0017173632194590028,-0.0010027967013002126,-0.027003548897018847,-0.012413314571804222,-0.0016134151232199657,0.013364617574989097,0.004400451542769588,-0.000712348289239344,0.012601561859983122,-0.00325116901678939,0.024687703320951188,0.0009460175928325043,0.0614326935935469,0.004521124243412941,0.00385361766101596,0.002551099755373798,-0.0007730285097841261,0.0010256492124517535,0.046441189668967126,0.5313820426228452,0.14223680997914243,0.5313820412720911
E5H.SI,Golden Agri-Resources,0.013581335411308827,0.016701787964557298,0.014657430968618428,-0.0002503985729345004,-0.0018242514659777952,0.0023722728911889134,-0.02212415633855926,-0.008133918085995902,-0.002836030128573839,-0.0069907583106578386,0.0014272543906372448,-0.005690211208584515,0.040122844696761605,0.01418881306937692,-0.010164938019934198,-0.008045246650781337,-0.006383249335667643,-0.006096050287706021,-0.005592576162634941,-0.007583397744128888,-0.0016822223720191687,-0.002713199510872073,-0.017043999958768836,0.00021952089671685825,-0.003835070541208552,0.003239411071990617,-0.0009320467402267241,0.0011969495276571251,0.010744040417530415,0.3896751724000312,0.0005299398711122137,0.3896751711640609
F03.SI,Food Empire Holdings,-0.008749061595099193,0.004962949702930927,-0.009220537426626834,0.002355169465754443,-0.005770927427402057,0.007327764680976543,0.003726540111183567,-0.002963112196102884,0.003980270959527843,0.005697930815676955,0.0022227787797964994,-0.00610963065555552,-0.011478439837155748,0.002011578684177948,0.003909187609988294,-0.003936730261484627,0.054613037268518384,0.004411197029385221,-0.007027898687538254,0.001003218506957637,-0.002359291110842605,0.010056804083469616,-0.02324086647016884,-8.009614339243853e-05,0.006482237774398527,0.008231807270353783,-0.009245899482266395,0.002694581743562594,-0.002516177479956241,0.4201336160050944,0.030988385713067154,0.42013361700601587
F34.SI,Wilmar International,0.0005670654658206331,0.002968435394086555,-0.007189672749882447,-0.0034198216555159887,0.001180490758815722,-0.005757293003553059,0.0014260123279018445,0.007221454966893362,-0.002339039099570073,-0.006225817255071888,0.007628288786381745,-0.010400521877254505,-0.007857177263304038,-0.005025987408098445,0.017631322917141007,0.018676239477754278,0.0007076602264351095,0.0029196871517524416,0.0006644581587897846,0.011382858815777582,0.016527337964580512,-0.011253538960263541,0.020177086412286372,-0.0012492853024741635,0.005872853818218573,0.004932730465625355,-0.005161333018554615,0.001319046299713591,-0.02443455792748864,0.42063421392432376,0.03148898388694306,0.42063421517989175
G13.SI,Genting Singapore,0.00043295087687511113,-0.0005550418404527591,0.00018752629210212036,-0.005605649953613465,0.0027252365390449994,-0.004658542068555107,0.008986896790283937,0.00952067096128303,0.009804841663881235,0.004055834884038632,0.013143881173300542,0.016093854200316855,-0.0057099758615368045,0.00033786017844249726,0.0012416898742139892,0.009317313834380912,-0.0026584676422862687,0.004803610962717357,-0.01801882663852666,0.011957039855406037,0.0002949666616950708,-0.006291906098049367,-0.016122260927804746,0.0011266622712355456,0.01962290138704702,-0.014417931260520617,-0.004160848970041115,0.012589097368081639,-0.024328709662386247,0.41285990667625055,0.02371467485057338,0.4128599061435221
H78.SI,Hongkong Land Holdings,-0.017228601168117166,-0.017306362396648182,-0.011006013901951519,-0.02262496842588007,-0.001967639437170874,0.011271648789697792,0.007702963776609977,-0.004578962881532788,-0.00017948501372302416,0.0017776970281556713,-0.0054492264498367145,-0.0010136560025785003,-0.027108529613487916,-0.006415154099649953,0.01781506161345533,0.003875681735389662,-0.006033821806140622,-0.0018192634640035977,-0.0053086898035326156,-0.004449195247852913,-0.0010222106580840772,-0.011933181657086607,-0.031034141939580876,0.008585489660563326,-0.006233655771102349,0.0075467872165336305,-0.00247632235027595,3.0207815234462033e-05,-0.019313345184236823,0.24324834201969117,-0.1458968896368333,0.2432483416561154
J69U.SI,Mapletree Logistics Trust,-0.010444955428956746,-0.008861483343825966,-0.014113581802721455,-0.012273856164392782,-0.004247913573344704,-0.0013670417535831803,0.007396510586058867,-0.0062997145040890245,-0.0014200231934910334,-0.0007155478262211545,-0.014933761435372617,0.007494304492638548,-0.018742824709897833,-0.006857412062709045,0.004494185661533265,0.014165575642127805,-0.004830996837445128,0.00335007985348966,-0.0013040779201946861,-0.000427328654404846,-0.010296108744842058,-0.011849735875421175,-0.0285633410834771,-0.0032475549144874096,-0.030580298459208278,-0.03214968676629724,-0.013711117203056346,-0.001225766091629339,-0.030987888725030645,0.1565938738165543,-0.23255136083825162,0.15659387045469708
K71U.SI,Keppel DC REIT,-0.0034748762084200278,-0.0027814449666038856,-0.005638002667146793,-0.00441777963334971,-0.0012093076103155908,-0.0003378279138632934,0.0008831436836044304,-0.006334421853443928,-0.0021428553273563013,-0.006171706123313925,0.006127080350233882,-0.0034696370700658006,-0.006252127905208908,0.0020238565193358227,-0.001556264177761477,-0.0050532087715509984,-0.010848950456820603,0.003650459408054303,0.0028713745937420754,0.0004547895674841129,-0.00411339181871881,-0.008939793620065757,-0.0298189670259444,-0.002068513092708599,-0.06039900281983137,-0.0073084307510725924,-0.003775083871860261,-0.0011283866942540044,-0.039910885931385566,0.18800507080467244,-0.20114016218860797,0.18800506910434073
M04.SI,Mandarin Oriental International,-0.006337778124434408,-0.007237074189706618,-0.006900021628607647,-0.006529424262971588,0.0008439280158199835,-0.012631039103307557,-0.0006487738665691723,0.007836895206364715,0.002354604729807761,-0.010944181162703898,-0.004093063127857022,-0.004034292053529498,-0.009668396094948548,-0.0036783455148543,0.0021928819023742108,0.0015980737127756584,0.02985874724570749,-0.006043059224102762,0.0072702201317406435,-0.005876742381706208,-0.004776088791331858,-0.011609733919030987,-0.02570693545609174,0.00018057587949442676,0.003996678611047173,0.007374590755425743,0.012277980179787847,0.021959273208176457,-0.032074101305552175,0.3281006267838971,-0.06104460062878387,0.32810063066416484
M44U.SI,Mapletree Pan Asia Commercial Trust,0.0028418915851943895,-0.0012829597144082073,-0.007943768171026022,-0.004777822847736388,0.005487026526534464,-0.0033265751112048748,0.010175433768108633,0.01222232227609311,0.005861541704234696,0.007122200601352233,0.01531328184191807,0.01612944184545995,-0.006225377592600125,0.006177419259038288,-0.0029455081920332304,0.012045574194889924,-0.012879037084821902,0.0005615143539671408,-0.018021561843506787,0.030880582761492404,-0.005240532662282931,0.010760602527370792,-0.013666828031273327,-0.0033277086626549135,0.02361703215206944,-0.014907470180057772,0.003052625013897341,0.0022971585602317647,-0.008720489712795826,0.4504252370663876,0.06128000916545035,0.45042524045839905
ME8U.SI,Mapletree Industrial Trust,-0.016818995163212093,-0.010653820789739256,-0.013286911349314322,-0.014531408265174833,-0.0025578527415564167,-0.003195640873636876,-0.003994176858741412,-0.0006633683892459885,0.0008830390685398015,-0.00904272391097038,-0.002314110907827853,0.01033864652671582,-0.01776180979457422,-0.007285060559588601,0.0026964083715756717,0.014638520368862373,-0.0037993057176936417,-0.00011602204009250272,-0.0050686569693971254,0.008976426660556171,-0.011911257273095544,-0.01680208493136888,-0.03512518967204869,-0.0030315478815100506,-0.04422596980592061,-0.0385287366085322,-0.011260015570205723,-0.00034235489614729885,-0.041509949546343704,0.11285130491997374,-0.2762939295196884,0.1128513017732603
N2IU.SI,Mapletree North Asia Commercial Trust,-0.00456301194119078,-0.00619512783794562,-0.00606320365499414,-0.011047834901601163,-0.00291294698476122,0.00031392026945468386,0.007862894392965246,0.00974545794990263,-0.003104831829041359,0.0037090342402007082,0.004041338974129758,-0.0031651220189087325,-0.0036235378243873128,0.0013472322263078241,0.004798489227214304,0.02702919152510731,-0.02035636064978462,-0.0017873861886937448,-0.0087822824459181,0.008128514676300255,-0.0038273249439225764,0.0008217958522436675,-0.03062670280593011,-0.0029023051676995235,-0.051994902933238336,-0.025563101408988587,-0.0025527257737121543,0.0005249705029018514,-0.036136350914821376,0.23226301219081705,-0.15688222038881122,0.23226301090413748
O39.SI,OCBC Bank,-0.014177567990686838,-0.015396688765467842,-0.002773806640780094,-0.005525332855904707,-0.00010038982027708698,-0.0003409565917445434,-0.0050054887832448,0.001484044275357519,0.0020847228888760585,0.00834260859805454,-0.011401199488263956,-0.010174960835747697,-0.02302404335096071,-0.003570431308962725,-0.005188434088795475,-0.0019400946111818485,0.0014520865607664745,0.000793874828132175,0.013603432648105809,-0.003088086078723791,0.014504991871372113,-0.004090624831533205,0.04541334789522353,-0.014334096072707326,-0.014129994286040528,0.00227704839388025,0.005249243961843604,2.0748678389281848e-05,0.008107425739644895,0.3582166106558969,-0.03092862006137692,0.3582166112315718
OV8.SI,Sheng Siong Group Ltd,-0.004403091620370106,-0.004827127530152211,-0.01181847368088711,-0.004141089239128632,0.006879577212257573,2.2859586533741093e-05,-0.0007414996478473767,-0.004291267388180131,-0.006648817959539883,-0.005467907693710004,-0.007901244593704178,-0.013033270796113357,-0.011308873278685495,-0.002818172342158505,-0.005672370577531183,-0.016068403993322135,0.0043076940736864345,0.0054371147384699725,0.017610718954347248,-0.004031032216153108,-0.003923931356475805,0.001047552195723256,-0.02513335976647795,-0.0021422551886098517,0.016993729631140014,0.01223228340222704,-0.010400651172149082,0.002882410321981297,0.04921485005712384,0.3610011806931778,-0.02814404986770569,0.361001181425243
